xm_lf,lf2_Sfs,sqrt_h1_h2,h_wf,kn
0.1,14.0,1.2,0.8,0.00010339903459372489
0.1,14.0,1.2,1.0,0.00012216009654062758
0.1,14.0,1.2,2.0,0.0001362308930008046
0.1,14.0,1.4,0.5,6.867444426187181e-05
0.1,14.0,1.4,0.6,9.231238703316835e-05
0.1,14.0,1.4,0.8,0.00012067791835872401
0.1,14.0,1.4,1.0,0.00014257411797845144
0.1,14.0,1.4,2.0,0.0001589962676932468
0.1,14.0,1.6,0.5,7.905424576099464e-05
0.1,14.0,1.6,0.6,0.00010626494629467018
0.1,14.0,1.6,0.8,0.00013891778693508097
0.1,14.0,1.6,1.0,0.00016412348848206495
0.1,14.0,1.6,2.0,0.0001830277646423027
0.1,20.0,0.8,0.5,0.0
0.1,20.0,0.8,0.6,0.0
0.1,20.0,0.8,0.8,0.0
0.1,20.0,0.8,1.0,0.0
0.1,20.0,0.8,2.0,0.0
0.1,20.0,1.0,0.5,0.0
0.1,20.0,1.0,0.6,0.0
0.1,20.0,1.0,0.8,0.0
0.1,20.0,1.0,1.0,0.0
0.1,20.0,1.0,2.0,0.0
0.1,20.0,1.2,0.5,0.0
0.1,20.0,1.2,0.6,0.0
0.1,20.0,1.2,0.8,0.0
0.1,20.0,1.2,1.0,0.0
0.1,20.0,1.2,2.0,0.0
0.1,20.0,1.4,0.5,0.0
0.1,20.0,1.4,0.6,0.0
0.1,20.0,1.4,0.8,0.0
0.1,20.0,1.4,1.0,0.0
0.1,20.0,1.4,2.0,0.0
0.1,20.0,1.6,0.5,0.0
0.1,20.0,1.6,0.6,0.0
0.1,20.0,1.6,0.8,0.0
0.1,20.0,1.6,1.0,0.0
0.1,20.0,1.6,2.0,0.0
0.2,2.5,0.8,0.5,0.0014566346101816648
0.2,2.5,0.8,0.6,0.001958012465135499
0.2,2.5,0.8,0.8,0.0025596658910801
0.2,2.5,0.8,1.0,0.0030241001146162827
0.2,2.5,0.8,2.0,0.00337242578226842
0.2,2.5,1.0,0.5,0.0017493228729751772
0.2,2.5,1.0,0.6,0.0023514448763543136
0.2,2.5,1.0,0.8,0.0030739912804092773
0.2,2.5,1.0,1.0,0.003631746399328898
0.2,2.5,1.0,2.0,0.004050062738518615
0.2,2.5,1.2,0.5,0.002127017584185726
0.2,2.5,1.2,0.6,0.002859143201930813
0.2,2.5,1.2,0.8,0.0037376939432249173
0.2,2.5,1.2,1.0,0.004415873462820366
0.2,2.5,1.2,2.0,0.004924508102516953
0.2,2.5,1.4,0.5,0.0024824608409594684
0.2,2.5,1.4,0.6,0.0033369310579563862
0.2,2.5,1.4,0.8,0.004362295318352688
0.2,2.5,1.4,1.0,0.005153804571991938
0.2,2.5,1.4,2.0,0.005747436512221377
0.2,2.5,1.6,0.5,0.0028576724795167006
0.2,2.5,1.6,0.6,0.003841291630074985
0.2,2.5,1.6,0.8,0.005021634610744926
0.2,2.5,1.6,1.0,0.005932776560735757
0.2,2.5,1.6,2.0,0.006
0.2,3.0,0.8,0.5,0.0012843713567517847
0.2,3.0,0.8,0.6,0.001726455700561276
0.2,3.0,0.8,0.8,0.0022569569131326655
0.2,3.0,0.8,1.0,0.0026664666210825094
0.2,3.0,0.8,2.0,0.002973598902044893
