lf2_over_Sfs,xm_over_lf,sqrt_h1_over_h2,h_over_wf,construction_y,construction_p,kn,outside_digitized_chart
2.5,0.3,1.2,0.6,3.7036328493558863,1.249470005989792,0.0016580920215632515,False
2.5,0.3,1.2,0.8,3.7036328493558863,1.249470005989792,0.0023673500299489602,False
2.5,0.3,1.2,1.0,3.7036328493558863,1.249470005989792,0.003021767036537732,False
2.5,0.3,1.2,2.0,3.7036328493558863,1.249470005989792,0.0035407070485173157,False
2.5,0.3,1.4,0.5,3.7036328493558863,1.3268325532511929,0.0014604976597535786,False
2.5,0.3,1.4,0.6,3.7036328493558863,1.3268325532511929,0.0019473302130047715,False
2.5,0.3,1.4,0.8,3.7036328493558863,1.3268325532511929,0.002754162766255964,False
2.5,0.3,1.4,1.0,3.7036328493558863,1.3268325532511929,0.003496361830157396,False
2.5,0.3,1.4,2.0,3.7036328493558863,1.3268325532511929,0.004183443213285378,False
2.5,0.3,1.6,0.5,3.7036328493558863,1.411160536197341,0.0017134816085920231,False
2.5,0.3,1.6,0.6,3.7036328493558863,1.411160536197341,0.002282410037549896,False
2.5,0.3,1.6,0.8,3.7036328493558863,1.411160536197341,0.003175802680986705,False
2.5,0.3,1.6,1.0,3.7036328493558863,1.411160536197341,0.004016963217184047,False
2.5,0.3,1.6,2.0,3.7036328493558863,1.411160536197341,0.004898123753381387,False
2.5,0.4,0.8,0.5,4.037938104053294,1.13426639934216,0.0009290926382896159,False
2.5,0.4,0.8,0.6,4.037938104053294,1.13426639934216,0.0012630791178291278,False
2.5,0.4,0.8,0.8,4.037938104053294,1.13426639934216,0.0017913319967107998,False
2.5,0.4,0.8,1.0,4.037938104053294,1.13426639934216,0.002299304955789824,False
2.5,0.4,0.8,2.0,4.037938104053294,1.13426639934216,0.0026732914353293355,False
2.5,0.4,1.0,0.5,4.037938104053294,1.2070502121021467,0.0011197405938860108,False
2.5,0.4,1.0,0.6,4.037938104053294,1.2070502121021467,0.0015053807635677283,False
2.5,0.4,1.0,0.8,4.037938104053294,1.2070502121021467,0.0021552510605107335,False
2.5,0.4,1.0,1.0,4.037938104053294,1.2070502121021467,0.0027630062938230953,False
2.5,0.4,1.0,2.0,4.037938104053294,1.2070502121021467,0.0031971067180273883,False
2.5,0.4,1.2,0.5,4.037938104053294,1.2900410320453026,0.001352114889726847,False
2.5,0.4,1.2,0.6,4.037938104053294,1.2900410320453026,0.0018041477153630894,False
2.5,0.4,1.2,0.8,4.037938104053294,1.2900410320453026,0.002570205160226513,False
2.5,0.4,1.2,1.0,4.037938104053294,1.2900410320453026,0.003269250295476346,False
2.5,0.4,1.2,2.0,4.037938104053294,1.2900410320453026,0.0038693323595669514,False
2.5,0.4,1.4,0.5,4.037938104053294,1.3743866435353191,0.0016031599306059576,False
2.5,0.4,1.4,0.6,4.037938104053294,1.3743866435353191,0.0021375465741412768,False
2.5,0.4,1.4,0.8,4.037938104053294,1.3743866435353191,0.002991933217676596,False
2.5,0.4,1.4,1.0,4.037938104053294,1.3743866435353191,0.0037911971899189795,False
2.5,0.4,1.4,2.0,4.037938104053294,1.3743866435353191,0.004597163798757277,False
2.5,0.4,1.6,0.5,4.037938104053294,1.4663264198107746,0.001878979259432324,False
2.5,0.4,1.6,0.6,4.037938104053294,1.4663264198107746,0.0024920403952809434,False
2.5,0.4,1.6,0.8,4.037938104053294,1.4663264198107746,0.0034516320990538732,False
2.5,0.4,1.6,1.0,4.037938104053294,1.4663264198107746,0.004347958518864648,False
2.5,0.4,1.6,2.0,4.037938104053294,1.4663264198107746,0.005284284938675422,False
2.5,0.5,0.8,0.5,4.3722433587507,1.16194067539327,0.0010010457560225019,False
2.5,0.5,0.8,0.6,4.3722433587507,1.16194067539327,0.0013544042287977909,False
2.5,0.5,0.8,0.8,4.3722433587507,1.16194067539327,0.0019297033769663497,False
2.5,0.5,0.8,1.0,4.3722433587507,1.16194067539327,0.0024764203225169277,False
2.5,0.5,0.8,2.0,4.3722433587507,1.16194067539327,0.0028697787952922165,False
2.5,0.5,1.0,0.5,4.3722433587507,1.24075033858374,0.001214100948034472,False
2.5,0.5,1.0,0.6,4.3722433587507,1.24075033858374,0.001626701218901464,False
2.5,0.5,1.0,0.8,4.3722433587507,1.24075033858374,0.0023237516929186996,False
2.5,0.5,1.0,1.0,4.3722433587507,1.24075033858374,0.002968577065360814,False
2.5,0.5,1.0,2.0,4.3722433587507,1.24075033858374,0.003470077742528294,False
2.5,0.5,1.2,0.5,4.3722433587507,1.3306120581008132,0.0014718361743024395,False
2.5,0.5,1.2,0.6,4.3722433587507,1.3306120581008132,0.0019624482324032528,False
2.5,0.5,1.2,0.8,4.3722433587507,1.3306120581008132,0.0027730602905040656,False
2.5,0.5,1.2,1.0,4.3722433587507,1.3306120581008132,0.003519794760225042,False
2.5,0.5,1.2,2.0,4.3722433587507,1.3306120581008132,0.004216324905477075,False
2.5,0.5,1.4,0.5,4.3722433587507,1.4219407338194454,0.0017458222014583365,False
2.5,0.5,1.4,0.6,4.3722433587507,1.4219407338194454,0.0023233747885138926,False
2.5,0.5,1.4,0.8,4.3722433587507,1.4219407338194454,0.0032297036690972273,False
2.5,0.5,1.4,1.0,4.3722433587507,1.4219407338194454,0.004081644402916673,False
2.5,0.5,1.4,2.0,4.3722433587507,1.4219407338194454,0.004973585136736118,False
2.5,0.5,1.6,0.5,4.3722433587507,1.521492303424208,0.0020487753709574658,False
2.5,0.5,1.6,0.6,4.3722433587507,1.521492303424208,0.0027059692136968323,False
2.5,0.5,1.6,0.8,4.3722433587507,1.521492303424208,0.0037188645957513568,False
2.5,0.5,1.6,1.0,4.3722433587507,1.521492303424208,0.004681103050887669,False
2.5,0.5,1.6,2.0,4.3722433587507,1.521492303424208,0.005683341506023981,False
2.5,0.6,0.8,0.5,4.706548613448108,1.18961495144438,0.0010729988737553878,False
