xm_lf,lf2_Sfs,sqrt_h1_h2,h_wf,kn
0.6,4,1.4,1,0.005043123
0.6,4,1.4,2,0.005632808
0.6,4,1.6,0.5,0.00282011
0.6,4,1.6,0.6,0.003714416
0.6,4,1.6,0.8,0.004913598
0.6,4,1.6,1,0.005823147
0.6,4,1.6,2,0.006504038
0.6,6,0.8,0.5,0.00106909
0.6,6,0.8,0.6,0.001408117
0.6,6,0.8,0.8,0.001862721
0.6,6,0.8,1,0.002207527
0.6,6,0.8,2,0.00246565
0.6,6,1,0.5,0.001278325
0.6,6,1,0.6,0.001683704
0.6,6,1,0.8,0.00222728
0.6,6,1,1,0.002639569
0.6,6,1,2,0.002948209
0.6,6,1.2,0.5,0.001571183
0.6,6,1.2,0.6,0.002069432
0.6,6,1.2,0.8,0.002737539
0.6,6,1.2,1,0.003244281
0.6,6,1.2,2,0.00362363
0.6,6,1.4,0.5,0.001819155
0.6,6,1.4,0.6,0.00239604
0.6,6,1.4,0.8,0.003169591
0.6,6,1.4,1,0.003756309
0.6,6,1.4,2,0.004195529
0.6,6,1.6,0.5,0.002100525
0.6,6,1.6,0.6,0.002766637
0.6,6,1.6,0.8,0.003659834
0.6,6,1.6,1,0.0043373
0.6,6,1.6,2,0.004844454
0.6,8,0.8,0.5,0.000821019
0.6,8,0.8,0.6,0.001081378
0.6,8,0.8,0.8,0.001430496
0.6,8,0.8,1,0.001695293
0.6,8,0.8,2,0.001893521
0.6,8,1,0.5,0.000981703
0.6,8,1,0.6,0.001293018
0.6,8,1,0.8,0.001710463
0.6,8,1,1,0.002027084
0.6,8,1,2,0.002264108
0.6,8,1.2,0.5,0.001206606
0.6,8,1.2,0.6,0.001589242
0.6,8,1.2,0.8,0.002102321
0.6,8,1.2,1,0.002491479
0.6,8,1.2,2,0.002782804
0.6,8,1.4,0.5,0.001397039
0.6,8,1.4,0.6,0.001840064
0.6,8,1.4,0.8,0.00243412
0.6,8,1.4,1,0.002884697
